form	lemma	POS	morph
སྟ་	སྟ་	OTHER
གི་	གི་	PART
མདུན་	མདུན་	NOUN
གྱི་	གི་	PART
ནམ་མཁ་	ནམ་མཁའ་	NOUN
ར་	ལ་	PART
སེངྒེའི་		NON_WORD
ཁྲི་	ཁྲི་	NUM
། །		PUNCT
རིན་ཆེན་	རིན་ཆེན་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲུབ་	གྲུབ་	VERB
མཐོ་	མཐོ་	VERB
ཞིང་	ཅིང་	PART
ཡངས་པ་	ཡངས་པ་	ADJ
འི་	གི་	PART
དབུ་	དབུ་	NOUN
། །		PUNCT
སླར་ཡང་	སླར་ཡང་	OTHER
སེང་ཁྲི་	སེང་ཁྲི་	NOUN
པདཉི་		NON_WORD
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
		
སྟེང་	སྟེང་	NOUN
། །		PUNCT
མབའི་		NON_WORD
བླ་མ་	བླ་མ་	NOUN
བཅོམ་ལྡན་	བཅོམ་ལྡན་	NOUN
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
། །		PUNCT
ག་	ག་	PRON
སེ་	སེ་	NO_POS
ར་	ལ་	PART
མདོག་	མདོག་	NOUN
མཚན་དཔེ་	མཚན་དཔེ་	NOUN
འི་	གི་	PART
གཟི་བརྗིད་	གཟི་བརྗིད་	NOUN
སྟོང་	སྟོང་	NUM
འབའ་	འབའ་	VERB
ཞིང་	ཅིང་	PART
། །		PUNCT
ཆོས་གོས་	ཆོས་གོས་	NOUN
གསུམ་	གསུམ་	NUM
གལྷནལ་		NON_WORD
ས་	ས་	ADP
གཅདན་		NON_WORD
མཉམ་བཞག་	མཉམ་བཞག་	NOUN
གིས་	གིས་	PART
། །		PUNCT
བདུད་རྩི་	བདུད་རྩི་	NOUN
ས་	གིས་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གང་བ་	གང་བ་	VERB
འི་	གི་	PART
ལྷུང་བཟེད་	ལྷུང་བཟེད་	NOUN
བསྣམས་	བསྣམས་	NO_POS
། །		PUNCT
འོད་	འོད་	NOUN
ཕུང་	ཕུང་	VERB
དབུ་	དབུ་	NOUN
ན་	ལ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
སྐྱིལ་ཀྲུང་	སྐྱིལ་ཀྲུང་	NOUN
བཞུགས་	བཞུགས་	VERB
། །		PUNCT
ཐུགས་ཀ་	ཐུགས་ཀ་	NOUN
ན་	ནས་	PART
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
འོད་ཟེར་	འོད་ཟེར་	NOUN
རྩེམོ་		NON_WORD
རུ་	ལ་	PART
།།		PUNCT
རྒྱ་	རྒྱ་	NOUN
ཆེན་	ཆེན་	NO_POS
རྗོདད་		NON_WORD
བརྒྱུད་	བརྒྱུད་	NO_POS
ཟབ་	ཟབ་	VERB
སྣུ་		NON_WORD
།་		PUNCT
ལྟ་	ལྟ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
དང་	དང་	NO_POS
། །		PUNCT
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ཆོས་འབྲེལ་	ཆོས་འབྲེལ་	OTHER
དངོ་	དངོ་	NOUN
ཐོབ་	ཐོབ་	VERB
བླ་མ་	བླ་མ་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
རྒྱུད་སྡེ་	རྒྱུད་སྡེ་	NOUN
བཞི་	བཞི་	NUM
འབྲེལ་	འབྲེལ་	VERB
ཡི་དམ་	ཡི་དམ་	NOUN
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ལྷ་	ལྷ་	NOUN
།།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
བྱང་སེམས་	བྱང་སེམས་	NOUN
རང་རྒྱལ་	རང་རྒྱལ་	NOUN
ཉན་	ཉན་	VERB
ལྔ་	ལྔ་	NUM
ས་	ས་	ADP
དང་	དང་	NO_POS
། །		PUNCT
དཔའ་	དཔའ་	NOUN
ལྔ་	ལྔ་	NUM
།་་		PUNCT
མཁའ་	མཁའ་	NOUN
འབོ་	འབོ་	OTHER
།་		PUNCT
བསྟན་སྲུང་	བསྟན་སྲུང་	OTHER
སྣུ་		NON_WORD
ག་	ག་	PRON
ས་	གིས་	PART
ཀྱིས་	གིས་	PART
བསྐོར་	བསྐོར་	VERB
། །		PUNCT
ལྷ་	ལྷ་	NOUN
།་		PUNCT
སོ་	སོ་	PART
འི་	གི་	PART
མདུན་	མདུན་	NOUN
དུ་	ལ་	PART
འགོག་	འགོག་	NO_POS
ལམ་	གམ་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
གྱི་	གི་	PART
། །		PUNCT
གསུང་རབ་	གསུང་རབ་	NOUN
གླེགས་བམ་	གླེགས་བམ་	NOUN
རང་	རང་	PRON
སྒྲ་	སྒྲ་	NOUN
ལྷ་	ལྷ་	NOUN
ག་	ག་	PRON
བཞིན་	བཞིན་	NOUN
བཞུགས་	བཞུགས་	VERB
། །		PUNCT
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
དེ་	སྟེ་	PART
རྣམས་	རྣམས་	DET
རང་	རང་	PRON
ལ་	ལ་	PART
དགྱེས་	དགྱེས་	NO_POS
ཚུལ་	ཚུལ་	NOUN
མཛད་	མཛད་	VERB
། །		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
མཐའ་	མཐའ་	NOUN
སྒོ་		
མཁའ་མཉམ་	མཁའ་མཉམ་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
།		PUNCT
རང་རང་	རང་རང་	NO_POS
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
མྱོང་	མྱོང་	VERB
བཞིན་	བཞིན་	NOUN
འཁོད་པ་	འཁོད་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
འཇིགསདང་		NON_WORD
དྲག་	དྲག་	VERB
ཝ་	ཝ་	OTHER
ས་	གིས་	PART
སྐྱབས་འགྲོ་	སྐྱབས་འགྲོ་	OTHER
བྱ་	བྱ་	VERB
། །		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
མཁའ་མཉམ་	མཁའ་མཉམ་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
། །		PUNCT
དངོ་	དངོ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
བླ་མ་	བླ་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུམཆི་		NON_WORD
།།		PUNCT
ཁྱོན་	ཁྱོན་	NOUN
པ་སངས་	པ་སངས་	NO_POS
རྒྱ་	རྒྱ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
མཆི་	མཆི་	NO_POS
། །		PUNCT
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
དམ་	གམ་	PART
སྐྲུབས་		NON_WORD
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
མཆི་	མཆི་	NO_POS
། །		PUNCT
འདྲེན་པ་	འདྲེན་པ་	VERB
དགེ་འདུན་	དགེ་འདུན་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
		
སུ་	ལ་	PART
མཆི་	མཆི་	NO_POS
།		PUNCT
ལན་	ལན་	NOUN
མངདུ་		NON_WORD
བརྩོད་		NON_WORD
།		PUNCT
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཅད་		NON_WORD
དང་	དང་	NO_POS
བདུད་	བདུད་	NOUN
ཅིའི་	ཅིའི་	NO_POS
རྒྱུན་	རྒྱུན་	NOUN
། །		PUNCT
དཔག་མེད་	དཔག་མེད་	ADJ
བབས་པ་	བབས་པ་	VERB
ས་	གིས་	PART
ཇིག་		NON_WORD
སྒྲིབ་	སྒྲིབ་	NOUN
ཀུན་	ཀུན་	DET
སྦྱངསཏེ་		NON_WORD
། །		PUNCT
ཤླཽགསུང་		NON_WORD
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
མ་	མ་	PART
ལུས་	ལུས་	NOUN
ཐོབ་	ཐོབ་	VERB
། །		PUNCT
དཐོན་		NON_WORD
མསྣུབགསུམ་		NON_WORD
གྱི་	གི་	PART
སྐྱབས་	སྐྱབས་	NOUN
འོག་	འོག་	NOUN
ཚུད་པ་	ཚུད་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
། །		PUNCT
དྲིན་ལན་	དྲིན་ལན་	NOUN
འཁོར་	འཁོར་	NOUN
མེད་	མེད་	VERB
མ་	མ་	NOUN
གྱུར་	གྱུར་	VERB
འགྲོ་བ་	འགྲོ་བ་	VERB
ཀུན་	ཀུན་	DET
། །		PUNCT
ཕྲ་རགས་	ཕྲ་རགས་	NOUN
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
མཚོ་	མཚོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
སྒྲོལ་བ་	སྒྲོལ་བ་	VERB
འི་	གི་	PART
སླད་	སླད་	NOUN
།།		PUNCT
བླ་མེད་	བླ་མེད་	ADJ
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཐོབ་	ཐོབ་	VERB
ཕྱིར་དུ་	ཕྱིར་དུ་	NO_POS
། །		PUNCT
ཟབ་	ཟབ་	VERB
རྒྱ་	རྒྱ་	VERB
ལམ་བཟང་	ལམ་བཟང་	OTHER
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
བླང་བ་	བླང་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
།		PUNCT
ལནགསུམ་		NON_WORD
སོགས་	སོགས་	DET
བརྩོད་		NON_WORD
།		PUNCT
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
ཝ་	ཝ་	OTHER
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རང་	རང་	PRON
འདྲ་	འདྲ་	VERB
ཞིག་	ཅིག་	PART
།		PUNCT
རང་	རང་	PRON
ལ་	ལ་	PART
ཐིམ་པ་	ཐིམ་པ་	VERB
ས་	གིས་	PART
རང་ཉིད་	རང་ཉིད་	OTHER
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
སྐུ་	སྐུ་	NOUN
། །		PUNCT
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཅད་		NON_WORD
ཟེ་	ཟེ་	VERB
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་		
འཕྲོ་	འཕྲོ་	NOUN
ས་	གིས་	PART
།།		PUNCT
སྟོད་	སྟོད་	NOUN
བཅུད་	བཅུད་	NOUN
ཀུན་	ཀུན་	DET
སྦྱངས་	སྦྱངས་	VERB
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
། །		PUNCT
འགྲོ་	འགྲོ་	VERB
ཀུན་	ཀུན་	DET
ཕན་ཚུན་	ཕན་ཚུན་	ADV
ཉེ་རིང་	ཉེ་རིང་	ADJ
ཆགས་སྡང་	ཆགས་སྡང་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
བྲལ་བ་	བྲལ་བ་	VERB
འི་	གི་	PART
བཏང་	བཏང་	VERB
སྒོམས་	སྒོམས་	VERB
ལ་	ལ་	PART
གནས་	གནས་	NOUN
བདེ་	བདེ་	VERB
དང་	དང་	NO_POS
ལྡན་	ལྡན་	VERB
། །		PUNCT
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཀུན་	ཀུན་	DET
ཞི་	ཞི་	VERB
ཟག་མེད་	ཟག་མེད་	ADJ
བདེ་བ་	བདེ་བ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
འབྲལ་བ་	འབྲལ་བ་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
སྨོན་	སྨོན་	VERB
ཞིང་	ཅིང་	PART
འདུན་པ་	འདུན་པ་	PROPN
དང་	དང་	NO_POS
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བདག་	བདག་	PRON
གིས་	གིས་	PART
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
དེ་ལྟ་	དེ་ལྟ་	NO_POS
དུ་	ལ་	PART
། །		PUNCT
ནུས་པ་	ནུས་པ་	VERB
ར་	ལ་	PART
བླ་མ་	བླ་མ་	NOUN
ལྷ་	ལྷ་	NOUN
ཡི་	གིས་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རཱཁས་		NON_WORD
། །		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
མཁའ་མཉམ་	མཁའ་མཉམ་	OTHER
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཀུན་	ཀུན་	DET
སྔ་	སྔ་	ADV
ན་	ལ་	PART
དུ་	ལ་	PART
།།		PUNCT
མྱུར་བ་	མྱུར་བ་	VERB
མྱུར་བ་	མྱུར་བ་	VERB
ར་	ལ་	PART
རྩོདགས་པ་	རྩོདགས་པ་	NON_WORD
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
། །		PUNCT
ལོ་	གོ་	PART
།་		PUNCT
འཕང་	འཕང་	VERB
བདག་	བདག་	PRON
གིས་	གིས་	PART
ཅིས་ཀྱང་	ཅིས་ཀྱང་	NO_POS
ཐོབ་	ཐོབ་	VERB
ཕྱིར་དུ་	ཕྱིར་དུ་	NO_POS
། །		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ལམ་	གམ་	PART
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
།		PUNCT
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
མཐའ་དག་	མཐའ་དག་	DET
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
		
པོ་	པོ་	PART
ར་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
རང་	རང་	PRON
གི་	གི་	PART
སྨིན་མཚམས་	སྨིན་མཚམས་	NOUN
ཐིམ་པ་	ཐིམ་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
སླར་ཡང་	སླར་ཡང་	OTHER
སྔར་བཞིན་	སྔར་བཞིན་	NO_POS
སེང་ཁྲི་	སེང་ཁྲི་	NOUN
པད་	པད་	NO_POS
ཟླ་	ཟླ་	NOUN
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཐུབ་པ་	ཐུབ་པ་	VERB
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
མཐའ་སྐོར་	མཐའ་སྐོར་	NO_POS
དུ་	ལ་	PART
། །		PUNCT
དངོ་	དངོ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
བླ་མ་	བླ་མ་	NOUN
ཡི་དམ་	ཡི་དམ་	NOUN
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ཐེག་	ཐེག་	VERB
གསུམ་	གསུམ་	NUM
འཕགས་	འཕགས་	VERB
སྣུནགས་		NON_WORD
མཁའ་	མཁའ་	NOUN
འབོ་	འབོ་	OTHER
།་		PUNCT
སྲུང་མ་	སྲུང་མ་	NOUN
ར་	ལ་	PART
བཅའ་	བཅའ་	VERB
། །		PUNCT
དཔག་ཡས་	དཔག་ཡས་	NO_POS
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
བལོ་		NON_WORD
།		PUNCT
ད་པ་	ད་པ་	ADV
ཁྱོད་	ཁྱོད་	PRON
བཞིན་	བཞིན་	NOUN
བཞུགས་	བཞུགས་	VERB
། །		PUNCT
གཐེརྒ་		NON_WORD
འཁེ་		NON_WORD
།		PUNCT
ར་	ར་	ADP
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
གནས་	གནས་	NOUN
ལྔ་	ལྔ་	NUM
ར་	ལ་	PART
ཡི་གེ་	ཡི་གེ་	NOUN
ས་	གིས་	PART
མཚན་	མཚན་	NOUN
། །		PUNCT
ཧཱུཾ་		NON_WORD
གི་	གི་	PART
འོད་	འོད་	NOUN
ཀྱིས་	གིས་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
ཐིམ་	ཐིམ་	NO_POS
། །		PUNCT
རེ་རེ་	རེ་རེ་	DET
འང་	ཀྱང་	PART
སྐྱབས་གནས་	སྐྱབས་གནས་	NOUN
ཀུན་	ཀུན་	DET
འདུ་	འདུ་	VERB
ཅ་	ཅ་	OTHER
རྭཔེར་		NON_WORD
གྱུར་	གྱུར་	VERB
།		PUNCT
ལསདང་པོ་	ལསདང་པོ་	NON_WORD
བ་	བ་	ADP
སྡིག་སྒྲིབ་	སྡིག་སྒྲིབ་	NOUN
དང་	དང་	NO_POS
མདག་པ་	མདག་པ་	NO_POS
འི་	གི་	PART
སྣང་	སྣང་	VERB
ཆ་	ཆ་	NOUN
རྗོདང་		NON_WORD
ཕྱི་	ཕྱི་	OTHER
ཁྲུ་	ཁྲུ་	NOUN
གསྐུ་		NON_WORD
།		PUNCT
ལ་	ལ་	PART
གལ་ཆེ་	གལ་ཆེ་	OTHER
བ་	བ་	ADP
།		PUNCT
ཁྲུ་	ཁྲུ་	NOUN
ཀྱི་	གི་	PART
ཁང་བ་	ཁང་བ་	NOUN
ཞེ་	ཅེས་	PART
སྐུ་	སྐུ་	NOUN
།		PUNCT
ག་	ག་	PRON
ས་	གིས་	PART
ཀྱིས་	གིས་	PART
ཁྲུས་ཁང་	ཁྲུས་ཁང་	NO_POS
གསལ་	གསལ་	VERB
གདབ་	གདབ་	NO_POS
།		PUNCT
ཇི་ལྟ་		
བལྟམས་པ་	བལྟམས་པ་	VERB
སྐུ་	སྐུ་	NOUN
ག་	ག་	PRON
ས་	གིས་	PART
ཚིགས་བཅད་	ཚིགས་བཅད་	NOUN
མང་ཉུང་	མང་ཉུང་	NOUN
ཅི་རིགས་པ་	ཅི་རིགས་པ་	OTHER
བརྗོད་	བརྗོད་	VERB
དེ་	སྟེ་	PART
ཁྲུས་གསོལ་	ཁྲུས་གསོལ་	OTHER
།		PUNCT
དེ་དག་	དེ་དག་	OTHER
སྐུ་	སྐུ་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
ཀྱིས་	གིས་	PART
སྒྱུདབྱི་		NON_WORD
།		PUNCT
སྟོང་གསུམ་	སྟོང་གསུམ་	OTHER
ཀུནཏུམོ་		NON_WORD
། །		PUNCT
སྲབ་	སྲབ་	NO_POS
འཇམ་	འཇམ་	VERB
ཡང་བ་	ཡང་བ་	VERB
རྐི་		NON_WORD
། །		PUNCT
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
མཚན་དཔེ་	མཚན་དཔེ་	NOUN
འི་	གི་	PART
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
དྲི་བཟང་	དྲི་བཟང་	NOUN
དང་	དང་	NO_POS
ཤོ་	ཤོ་	VERB
རྒྱན་	རྒྱན་	NOUN
ཕུལ་	ཕུལ་	VERB
།		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
འབོསྟེ་		NON_WORD
ལ་སོགས་	ལ་སོགས་	NO_POS
བརྩོད་		NON_WORD
དེ་	སྟེ་	PART
རང་རང་	རང་རང་	NO_POS
གི་	གི་	PART
གདན་ཁྲི་	གདན་ཁྲི་	NO_POS
ལ་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
ཤིང་	ཅིང་	PART
ཁྲུས་ཁང་	ཁྲུས་ཁང་	NO_POS
མི་	མི་	PART
དམིགས་པ་	དམིགས་པ་	VERB
ར་	ལ་	PART
བསམ་	བསམ་	NOUN
།		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
ན་	ལ་	PART
ལམ་རིམ་	ལམ་རིམ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
དུ་	ལ་	PART
བསྒྱུར་	བསྒྱུར་	VERB
ན་	ནས་	PART
བརྗོད་	བརྗོད་	VERB
ཅིང་	ཅིང་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
།		PUNCT
བསྡུ་	བསྡུ་	VERB
ན་	ལ་	PART
		
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
སོགསདང་		NON_WORD
།		PUNCT
རྒྱ་	རྒྱ་	NOUN
ཆེན་	ཆེན་	NO_POS
྅་		NON_WORD
		
ད་པ་	ད་པ་	ADV
འི་	གི་	PART
བརྒྱུད་	བརྒྱུད་	NO_POS
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
		
།		PUNCT
ཞེ་	ཅེས་	PART
སོགས་	སོགས་	DET
དང་	དང་	NO_POS
།		PUNCT
རབ་འབྱམས་	རབ་འབྱམས་	ADJ
གསུང་རབ་	གསུང་རབ་	NOUN
		
ཀུན་	ཀུན་	DET
ཞེ་	ཅེས་	PART
སོགས་	སོགས་	DET
བརྗོད་	བརྗོད་	VERB
།		PUNCT
དེ་	སྟེ་	PART
གཉིས་	གཉིས་	NUM
གང་	གང་	NO_POS
བྱེད་	བྱེད་	VERB
ཀྱང་	ཀྱང་	PART
དེ་	སྟེ་	PART
རྗེས་	རྗེས་	NOUN
།		PUNCT
ཇི་སྙེད་	ཇི་སྙེད་	OTHER
སུ་	ལ་	PART
དག་	དག་	DET
ཅེས་	ཅེས་	PART
སྐུ་	སྐུ་	NOUN
གསནས་		NON_WORD
བལྷག་		NON_WORD
།		PUNCT
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
བ་	བ་	NOUN
དམིགས་པ་	དམིགས་པ་	VERB
རྣམས་	རྣམས་	DET
ཡིད་	ཡིད་	NOUN
འཁུལ་	འཁུལ་	NO_POS
ངེས་	ངེས་	VERB
བྱསཏེ་		NON_WORD
བཅད་	བཅད་	VERB
།		PUNCT
མཎྜལ་		NON_WORD
སོ་	གོ་	PART
བདུན་	བདུན་	NUM
མ་	མ་	PART
སོགས་	སོགས་	DET
རྒྱ་	རྒྱ་	VERB
བསྡུ་	བསྡུ་	VERB
ཅི་རིགས་	ཅི་རིགས་	OTHER
འབུལ་	འབུལ་	NO_POS
།		PUNCT
གྲུབ་	གྲུབ་	VERB
ན་	ལ་	PART
ཚོམ་བུ་	ཚོམ་བུ་	OTHER
བདུན་	བདུན་	NUM
མ་	མ་	PART
གྲངས་	གྲངས་	NOUN
གསོག་	གསོག་	VERB
སྟེ་	སྟེ་	PART
ཅི་	ཅི་	NO_POS
མང་	མང་	VERB
ཕུལ་	ཕུལ་	VERB
ཀྱང་	ཀྱང་	PART
ལེགས་	ལེགས་	VERB
།		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
རྩབའི་		NON_WORD
བླ་མ་	བླ་མ་	NOUN
རིན་	རིན་	NOUN
ཁྲོད་	ཁྲོད་	NOUN
ཆེ་	ཆེ་	VERB
།		PUNCT
ཞེ་	ཅེས་	PART
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
ཚིག་རྐང་	ཚིག་རྐང་	OTHER
ཐ་མ་	ཐ་མ་	ADJ
ལན་	ལན་	NOUN
གཉིས་	གཉིས་	NUM
བརྗོད་པ་	བརྗོད་པ་	VERB
འི་	གི་	PART
དང་	དང་	NO_POS
ཝ་	ཝ་	OTHER
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
གི་	གི་	PART
མདུན་	མདུན་	NOUN
གྱི་	གི་	PART
མབའི་		NON_WORD
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རང་	རང་	PRON
འདྲ་	འདྲ་	VERB
གཉིས་པ་	གཉིས་པ་	NUM
ཞིག་	ཅིག་	PART
བྱོན་	བྱོན་	VERB
ཏེ་	སྟེ་	PART
རང་	རང་	PRON
གི་	གི་	PART
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
ར་	ལ་	PART
སེང་ཁྲི་	སེང་ཁྲི་	NOUN
པད་	པད་	NO_POS
ཟླ་	ཟླ་	NOUN
འི་	གི་	PART
གདན་	གདན་	NOUN
ལ་	ལ་	PART
བཞུགས་	བཞུགས་	VERB
ཏེ་	སྟེ་	PART
བདག་	བདག་	PRON
གི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
འི་	གི་	PART
རོ་	རོ་	NOUN
།		PUNCT
ན་	ལ་	PART
དུ་	ལ་	PART
ངོ་ཆེན་	ངོ་ཆེན་	NOUN
ཞུ་འབུལ་	ཞུ་འབུལ་	NOUN
མཛད་	མཛད་	VERB
ཅིང་	ཅིང་	PART
།		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
སྤྱི་	སྤྱི་	DET
ཝ་	ཝ་	OTHER
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རང་	རང་	PRON
འདྲ་	འདྲ་	VERB
གཉིས་པ་	གཉིས་པ་	NUM
ཞིག་	ཅིག་	PART
ཆད་	ཆད་	VERB
དེ་	སྟེ་	PART
རང་	རང་	PRON
ལ་	ལ་	PART
ཐིམ་པ་	ཐིམ་པ་	VERB
ས་	གིས་	PART
རྒྱུད་	རྒྱུད་	NOUN
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
